Title,Status,Category,Open Date,Close Date
Requisição de periferico - Teclado - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-02-29 15:03:39,2024-03-01 20:00:00
Acesso a Pasta - NFE - VIENA,Fechado,Tecnologia > Cross > Acesso,2024-02-29 13:32:15,2024-03-01 17:00:00
"O APLICATIVO DO CONSULTA RH NAO ESTA ABRINDO. - PROGRAMAÇÃO TV - O APLICATIVO DO CONSULTA RH NAO ESTA ABRINDO, PRECISA DE UMA SENHA OU ATUALIZAÇÃO. ",Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-02-29 12:12:36,2024-03-04 17:00:00
Problema com Ramal  - Telefone não toca,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-02-29 11:34:06,2024-03-04 17:00:00
Requisição de periferico - Teclado - Redação TV,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-02-29 10:20:43,2024-03-01 20:00:00
   Usuario informa que sua maquina não está funcionando. - Imirante/G1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-02-29 10:14:22,2024-03-03 20:00:00
Elemental - GLOBO-CDO e GLOBO-IMP - Indisponibilidade,Fechado,Tecnologia > Cross > Infraestrutura,2024-02-29 08:59:33,
Solução de problemas - ,Fechado,Tecnologia > PDI > Desenvolvimento,2024-02-29 08:08:51,2024-03-05 17:00:00
FAN módulo de potência FM,Fechado,Tecnologia > Serviço > NOC > Suporte Técnico > Sinais e sistema,2024-02-29 08:00:41,2024-03-03 20:00:00
Manutenção Técnica - fone de ouvido - fones com defeito,Fechado,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-02-28 14:00:46,2024-03-11 08:00:00
Requisição de periferico - Outros - Almoxarifado,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-02-28 13:37:20,2024-02-29 20:00:00
Email - Redefinir senha,Fechado,Tecnologia > Cross > Acesso,2024-02-28 11:27:55,2024-03-01 17:00:00
Problema Impressora  -  ,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-02-28 10:49:16,2024-03-01 20:00:00
Solicito a Instalação de Impressora  - 	Marketing,Fechado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-02-28 10:17:54,2024-03-01 20:00:00
ARH - Recursos Humanos - Gostaria que fosse liberado gerar o relatório da cantina em excell,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-02-28 10:15:11,2024-07-02 13:59:04
Globo Fiscaliza - Computador não está resolvendo DNS,Fechado,Tecnologia > Cross > Infraestrutura,2024-02-28 09:49:33,
Problema nas 6 fontes dos amplificadores Transmissor FM,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-27 15:58:52,2024-03-04 19:17:26
Problema com Ramal  - Telefone não toca,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-02-27 15:06:01,2024-02-29 17:00:00
Telefonia - Outros - telefone com defeito	,Fechado,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-02-27 14:37:01,
Solicito acesso a conta do adobe para utilizar em outro computador  - Marketing,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-02-26 12:55:41,2024-02-29 20:00:00
O Excel - Chave de Instalação,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-26 11:09:26,2024-02-29 20:00:00
Criação de card RD Station no GLPI,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-02-26 11:01:33,2024-02-29 20:00:00
