Title,Status,Category,Open Date,Close Date
Entrevista via Skype -  JM1 - SANDRA ANNENBERG ,6,Tecnologia > Operação > Operação Técnica > Skype,2024-03-29 07:20:44,2024-03-29 13:20:44
Ar-condicionado - Marketing - Não está ligando ,6,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-03-28 13:47:05,2024-04-01 17:00:00
Refazer conectores ,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-28 08:24:28,2024-03-31 20:00:00
"FATURAMENTO - O COMPUTADOR CONTINUA REINICIANDO DE FORMA REPENTINA, FAVOR VERIFICAR. - Financeiro",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-27 17:36:58,2024-03-30 20:00:00
Faturamento - A máquina está desligando contantemente.   - Financeiro,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-27 14:27:51,2024-03-30 20:00:00
o computador que uso está sem internet - Imirante/G1,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-27 13:24:53,2024-03-30 20:00:00
Fonte STI não funciona. - Tecnologia,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-27 11:36:57,2024-03-30 20:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 10:59:28,2024-03-29 17:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 10:58:56,2024-03-29 17:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 10:58:25,2024-03-29 17:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 10:57:37,2024-03-29 17:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 10:56:56,2024-03-29 17:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 10:56:11,2024-03-29 17:00:00
Email - Redefinir senha,6,Tecnologia > Cross > Acesso,2024-03-27 10:48:24,2024-03-29 17:00:00
Anews - Criar novo usuário - JOANDERSON BIRINO,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-03-27 09:42:29,2024-03-29 17:00:00
Anews - Criar novo usuário - PATRICIA CARVALHO,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-03-27 09:40:47,2024-03-29 17:00:00
Ar-condicionado - marketing - Aparelho pingando ,6,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-03-27 09:35:50,2024-03-29 17:00:00
Solução de problemas - ,6,Tecnologia > PDI > Desenvolvimento,2024-03-27 09:33:21,2024-04-01 17:00:00
Solicito a Instalação de Impressora  - 	RH - arquivo ,6,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-03-27 09:27:51,2024-03-29 20:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-27 08:55:12,2024-03-29 17:00:00
Transmissão Garagem Alternativa,6,Tecnologia,2024-03-26 15:01:05,
Computador do WebAfina sem vídeo  - Produtora,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-26 12:40:54,2024-03-29 20:00:00
Depto. Faturamento - Computador reiniciando constantemente. - Financeiro,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-26 11:14:40,2024-03-29 20:00:00
Login para página Produtos &#38; Soluções,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-25 17:13:58,2024-04-12 19:54:29
Máquina com memória cheia,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-25 16:53:57,2024-03-28 20:00:00
"           boa tarde     Por gentileza , o setor Cedoc TV MIRANTE precisa com muita urgência de dois gabinetes de CPU para Internet , a fim de  capturar materiais para jornalismo tanto para disseminação no trânsito e suas respectivas pasta",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-25 14:54:11,2024-03-28 20:00:00
Ar-condicionado - CEDOC - Não está ligando ,6,Tecnologia > Serviço > Infraestrutura > Refrigeração,2024-03-25 14:42:46,2024-03-27 17:00:00
Outras solicitações - ,6,Tecnologia > Serviço > Infraestrutura > Elétrica,2024-03-22 15:23:57,2024-07-16 06:14:28
"Áudio da transmissão ao vivo (aplicativo e YouTube) e da gravação da censura com compressor sensível, estourando e picotando com facilidade - Rádio AM",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-22 10:28:49,2024-03-25 20:00:00
Manutenção Técnica - Monitor - Falhas na imagem,6,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-03-22 09:40:43,2024-03-26 17:00:00
A tela do computador está com problema. A imagem não estabiliza. Talvez seja necessário trocar o cabo VGA do PC. - Rádio AM,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-22 09:03:00,2024-03-25 20:00:00
"Entrevista via Skype -  JM2 - Jose Polary, coordenador de ações estratégicas da FIEMA.",6,Tecnologia > Operação > Operação Técnica > Skype,2024-03-21 14:58:29,2024-03-22 05:58:29
censura,6,Tecnologia,2024-03-21 12:00:00,
Email - Redefinir senha,6,Tecnologia > Cross > Acesso,2024-03-21 09:42:25,2024-03-25 17:00:00
Manutenção Técnica - TV 3 PAINEL JORNALISMO (SINAL GLOBO NEWS) - LIGA E DESLIGA,6,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-03-21 09:03:52,2024-03-25 17:00:00
Manutenção Técnica - Microfone Lapela - Malha de cabo quebrada próximo a capsula ,6,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-03-20 17:55:49,2024-03-22 17:00:00
Contracheque,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-20 15:43:39,2024-03-23 20:00:00
D4Sign expirou,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-20 15:21:54,2024-03-23 20:00:00
acesso a conta Adobe ,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-20 13:52:10,2024-03-23 20:00:00
O computador não está ligando  - Redação TV,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-20 10:09:23,2024-03-23 20:00:00
Problema  - Outros  - Presidência,6,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-03-20 10:07:42,2024-03-21 20:00:00
"Mesmo após a limpeza de memória no computador, o mesmo ainda continua lento e com dificuldade em abrir determinados arquivos mais pesados, portanto, solicito uma nova memória com maior capacidade de armazenamento - Marketing",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-19 16:29:11,2024-03-22 20:00:00
Problema Impressora  -  ,6,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-03-19 14:17:57,2024-03-21 20:00:00
Email - Redefinir senha,6,Tecnologia > Cross > Acesso,2024-03-19 11:24:27,2024-03-21 17:00:00
Problema Impressora  -  ,6,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-03-19 10:52:04,2024-03-22 17:19:11
Anews -  anews sem funcionar,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,2024-03-19 10:08:58,2024-03-22 20:00:00
"SEM AUDIO NO COMPUTADOR, NÃO CONECTA NA CAIXA DE SOM, PEDE AUTORIZAÇÃO DO ADMINSITRADOR - Redação TV",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-19 09:25:37,2024-03-22 20:00:00
Solução de problemas - ,6,Tecnologia > PDI > Desenvolvimento,2024-03-18 17:24:09,2024-03-21 17:00:00
Manutenção Técnica - Fonte transmissor digital - Fan apresentando problemas,4,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-03-18 16:17:35,2024-03-20 17:00:00
CENSURA,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-18 15:26:00,2024-03-21 20:00:00
Manutenção Técnica - Microfone sem fio - Mic oscilando sinal ,6,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-03-15 19:48:55,2024-03-25 14:07:28
Problema com Ramal Fabio - Telefone mudo,6,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-03-15 15:42:35,2024-03-19 17:00:00
TOTVS TESTE,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-03-15 12:07:45,2024-03-18 20:00:00
Email - Criar novo E-mail,6,Tecnologia > Cross > Acesso,2024-03-14 16:34:43,2024-03-18 17:00:00
Email - Redefinir senha,6,Tecnologia > Cross > Acesso,2024-03-14 11:38:39,2024-03-18 17:00:00
Estou com o meu notebook com problema para carregar. - Imirante/G1,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-03-14 11:04:48,2024-03-17 20:00:00
