Categoria,Quantidade
Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,30
Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,7
Tecnologia > Cross > Acesso,23
Tecnologia > Serviço > Infraestrutura > Telefonia,7
Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,8
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,8
Tecnologia > Serviço > Infraestrutura > Refrigeração,5
Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,21
Tecnologia > Serviço > Infraestrutura > Manutenção,1
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Software Externos,7
Tecnologia > Cross > ERP,2
Tecnologia > PDI > RD Station,1
Tecnologia > PDI > Desenvolvimento,2
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,4
Tecnologia > Serviço > NOC > Ajuda e Suporte > Internet e Redes,1
Tecnologia > Serviço > Infraestrutura > Elétrica,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Contas e Acessos,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Softwares e Aplicativos,1
Tecnologia > Serviço > NOC > Suporte de TI > Impressoras,1
Tecnologia > Operação > Operação Técnica > Skype,2
Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Softwares Acess,1
Tecnologia > Serviço > NOC > Ajuda e Suporte > Hardware (Dispositivos/Equipamentos),1
