Title,Status,Category,Open Date
"Boa tarde 
 
Por gentileza , atendimento para verificação do computador material bruto para guardar e captar material bruto de Jornalismo .
 
Necessidade de urgência , temos material pra os jornais da tarde em espera : Globo Esporte , JM2, Red",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 14:34:05
"Boa tarde 
 
Por gentileza , gostaria de atendimento para verificação do computador do material bruto que fica 24 horas ligado . Necessidade de guardar e captar material do Jornalismo .  
 
Se possível com urgência , pois tenho material para o",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 13:48:11
Requisição de periferico - Mouse - Marketing,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-09-10 13:46:20
Visualização as câmeras congelando - Portaria,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 11:18:52
Acesso a Pasta - Trânsito/ Matérias brutas/ Matérias prontas - Trânsito,Solucionado,Tecnologia > Cross > Acesso,2024-09-10 10:52:34
Máquina está apresentando muita lentidão - Produtora,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-10 10:03:13
microfone estudio,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-10 09:33:31
Monitor muito ruim,Pendente,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-10 08:50:41
Problema Impressora  -  ,Solucionado,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-09-10 08:05:16
"o mouse do meu computador está travando...ele foi trocado há pouco tempo, até sábado de manhã tava funcionando perfeitamente. Hoje tá engatando demais. - Redação TV",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-09 17:46:32
Criação de Acesso a VPN Corporativa,Em atendimento,Tecnologia > Cross > Acesso,2024-09-09 16:10:40
Criação de Conta - CONTAS - LICIA ALMEIDA ,Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Programas Internos,2024-09-09 15:36:44
Acesso a Pasta - Trânsito  - Trânsito ,Solucionado,Tecnologia > Cross > Acesso,2024-09-09 15:15:21
MAPEAMENTO DO MEU USUÁRIO/COMPUTADOR,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 14:42:58
Validação do Programa da Adobe,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 14:36:09
Email - Criar novo E-mail,Solucionado,Tecnologia > Cross > Acesso,2024-09-09 14:20:06
CRIAÇÃO USUÁRIO DE EDIÇÃO,Solucionado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 14:01:16
Completar instalação de Capcut - Matheus g1,Fechado,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-09-09 09:07:59
"Por ser antiga, minha máquina está apresentando travamentos e lentidões constantes, impedindo a agilização e a condução do trabalho. - Rádio AM",Em atendimento,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-09 09:03:25
