Title,Status,Category,Open Date,Close Date
Acesso a Pasta - trânsito - trânsito,2,Tecnologia > Cross > Acesso,2024-10-06 09:32:01,2024-10-08 17:00:00
Instalação Plugin After Effects,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-10-04 17:26:09,2024-10-07 20:00:00
Usuário de Rede - LAYSLA MARIA SAMPAIO DA SILVA,6,Tecnologia > Cross > Acesso,2024-10-04 14:27:48,2024-10-08 17:00:00
Manutenção Técnica - Caixinha de som - Apenas 1 lado funcionando e com muito ruído,2,Tecnologia > Serviço > Infraestrutura > Manutenção,2024-10-04 10:16:34,2024-10-08 17:00:00
Caixinha de som com problema,6,Tecnologia > Serviço > NOC > Suporte de TI > Outras Solicitações,2024-10-04 10:10:38,2024-10-07 20:00:00
Usuário de Rede - PEDRO PEREIRA,2,Tecnologia > Cross > Acesso,2024-10-03 11:23:27,2024-10-07 17:00:00
Windows não inicializa,6,Tecnologia > Serviço > NOC > Ajuda e Suporte > Hardware (Dispositivos/Equipamentos),2024-10-02 14:36:19,2024-10-05 20:00:00
Criação de Acesso a VPN Corporativa,6,Tecnologia > Cross > Acesso,2024-10-02 09:55:08,2024-10-04 17:00:00
"      Computador de Eduardo Lindoso está sem opção ""transito"" e com teclado quase inoperante. Seria então substituição de teclado e colocação do ""trânsito"" para ter acesso a outras pastas. - Redação TV",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-10-02 08:16:40,2024-10-05 20:00:00
Tela escura! - Financeiro,2,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-30 16:42:01,2024-10-03 20:00:00
Requisição de periferico - Teclado - Programação,4,Tecnologia > Serviço > NOC > Suporte de TI > Periféricos,2024-09-30 16:16:35,2024-10-01 20:00:00
Email - Solicitar Exclusão de E-mail,6,Tecnologia > Cross > Acesso,2024-09-30 15:25:15,2024-10-02 17:00:00
Usuário de Rede - RAFAEL DA COSTA ALVES,6,Tecnologia > Cross > Acesso,2024-09-30 15:07:08,2024-10-02 17:00:00
Telefonia - Outros - Telefone fica mudo	,5,Tecnologia > Serviço > Infraestrutura > Telefonia,2024-09-30 10:47:10,2024-10-02 17:00:00
A máquina não está ligando. - RH,6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-30 10:23:22,2024-10-03 20:00:00
Solicito a Instalação de Impressora  - 	Redação Rádio Mirante News,6,Tecnologia > Serviço > NOC > Ajuda e Suporte > Impressoras,2024-09-30 09:44:55,2024-10-02 20:00:00
BackStage - Solução de Problemas ,6,Tecnologia > Serviço > NOC > Suporte de TI > Software e aplicativos > Aplicacações Globo,2024-09-30 09:25:00,
"Bom dia, Estou reforçando o pedido de sexta-feira passada sobre a reinstalação do EASY ANEWS (antecessor do Anews) para consulta ao arquivo de Fitas da TV Mirante de 1996 até cerca de 2015. O EASY NEWS estava no antigo computador em que trabalhava e não e",6,Tecnologia > Serviço > NOC > Suporte de TI > Máquinas,2024-09-30 08:24:00,2024-10-03 20:00:00
